time,h4_rsi,h4_macd_diff_pct,h4_ema9_ratio,h4_ema21_ratio,h4_ema50_ratio,h4_atr_norm,h4_bb_pct,h4_bb_width,h4_obv_zscore,h4_vol_ratio,h4_body_ratio,h4_adx,d1_rsi,d1_macd_diff_pct,d1_ema9_ratio,d1_ema21_ratio,d1_ema50_ratio,d1_atr_norm,d1_bb_pct,d1_bb_width,d1_obv_zscore,d1_vol_ratio,d1_body_ratio,d1_adx,close
2024-01-01 00:00:00+00:00,0.4979357693414966,0.0017645215164745,0.002336951743427,0.0035023520148274,0.0086537832586375,0.011831266439374,0.4687102955212259,0.0283485365672579,0.061713734608379,1.1264879370891148,-0.4830378190017418,0.2069954355864675,0.5004901012544452,-0.0081098959985981,0.0089718047421796,0.0024996498697997,-0.0476896849019079,0.0333663746920759,0.3837284619607446,0.0766628378013697,0.6440425774512752,0.9620606269241244,0.1536280666877536,0.2067563602403852,42300.78
2024-01-01 04:00:00+00:00,0.4981520156624187,0.0017331600674714,0.0022114387679512,0.0030504698450837,0.0079523091259716,0.0120204245474119,0.4884330958619123,0.0282897937974998,-0.1946357390024793,0.5815164535077211,0.0395153303947622,0.2031480173008798,0.500516280958878,-0.0080535631407799,0.0082707960796852,0.0019986106650276,-0.0478479323357394,0.0331955707634863,0.3879392191023488,0.0761608862080734,0.5602508629142583,0.9292936081286088,0.2090601671664664,0.2044371709995509,42323.18
2024-01-01 08:00:00+00:00,0.4999016549183978,0.0014513258685404,-0.002078231527994,-0.0011753739672423,0.003630532590628,0.0118906331056818,0.6414691255747114,0.0277563379444478,-0.2445989375525266,0.5768643483087883,0.4748077137442845,0.1988706281889754,0.5007737288601577,-0.0080100879932681,0.0039565516204953,-0.002038305938442,-0.0513439448658972,0.0328894414175501,0.4385082145887837,0.075353563179874,0.5428432230937633,0.9102413652794143,-0.0476998660116181,0.2021454281396884,42493.56
2024-01-01 12:00:00+00:00,0.5019850984000811,0.0016751135538625,-0.0060720442332566,-0.0058178730497544,-0.0014408917480797,0.0116403949387334,0.8150757074665669,0.0279227520945064,0.2677319526428454,0.2470061983367516,0.6704674668351162,0.1914920594368276,0.5010973171385835,-0.0078629610360966,-0.0011265963498359,-0.0069781025757796,-0.055755483855765,0.0325397008622344,0.5035071797383259,0.0745995343668189,0.7246020913162216,0.7735710584223633,0.2956720142602446,0.1998860436771964,42708.34
2024-01-01 16:00:00+00:00,0.5030584337396814,0.001856941223968,-0.0076211115910439,-0.007996197015228,-0.0040770508015794,0.0111718130768798,0.901467432315332,0.0282396247500902,0.4252993567269053,0.4080107659097481,0.4024025069637914,0.1822530804582673,0.5012655929438986,-0.0077143229530877,-0.0037777250802506,-0.0095349310924771,-0.0579174524925453,0.0322666718547929,0.5370860782673372,0.0738489151708772,0.7890968013310217,0.7044970702447872,0.4481361931230474,0.1976906338914815,42823.0
2024-01-01 20:00:00+00:00,0.510835355197299,0.0024132169675916,-0.0235357553383069,-0.0251526145738937,-0.0220711677598627,0.0109680231017549,1.4625312572799076,0.0302650055347098,1.3490395397071442,0.8770362959686752,0.8309927762289291,0.17358006541538,0.5024894493320179,-0.0073482631525622,-0.0218107555658887,-0.0275306664404023,-0.0748289753664157,0.0315724625548256,0.7903738898540761,0.071334296410254,0.9721896597359116,0.7050938065288892,0.6596263612348235,0.1958794504385807,43624.8
2024-01-02 00:00:00+00:00,0.5157301747145776,0.0037587319061061,-0.0318777257115041,-0.0360593167833473,-0.0345173073194104,0.0115296264945702,1.5551238606894928,0.0392379105959101,1.690909634131456,1.2127865645947946,0.702814184792716,0.1767165720037491,0.5033840414258844,-0.0068056783835883,-0.0343371409835553,-0.0403713453916344,-0.0869767570311614,0.0312526973820701,0.982238670833496,0.0697597559448335,1.0126584442283753,0.6996304921003332,0.9290015863143024,0.194994548512166,44229.57
2024-01-02 04:00:00+00:00,0.5242307482121698,0.0064715513628169,-0.0485674516331526,-0.0576618360527273,-0.0589844288944896,0.0131209610340026,1.5194981008374775,0.0631477840651774,5.981165754836612,4.125886665875707,0.8922812252385957,0.1942707839917896,0.5051846345170741,-0.0057861792391888,-0.0589636053020296,-0.0658054784863642,-0.1113541205992912,0.0308488943453816,1.3606849184165677,0.0690609770859058,1.3695686623803371,1.3287362217890644,0.9209744989563105,0.1954177318207333,45477.84
2024-01-02 08:00:00+00:00,0.5227175001836722,0.0082731677063568,-0.0407586969111674,-0.0539404786159608,-0.0580207628651677,0.0133153691115146,1.2617029262715584,0.0812197243374666,4.888128919046305,1.2460026810926943,0.1025334235031029,0.2130359933113575,0.5051969356841741,-0.0049198537729492,-0.0581596659735513,-0.0660335927774853,-0.1117902132491064,0.0313118436204728,1.3504339800875664,0.0703873320692459,1.4851734875153646,1.4493415289519165,0.9337394716721578,0.1960889724273532,45536.97
2024-01-02 12:00:00+00:00,0.5199084358777142,0.0094477816921741,-0.0307135828720391,-0.0474133041218298,-0.0542639323054702,0.0134820279749292,1.0787338457577382,0.0976926961755756,3.8436305158515114,1.0533707583112897,-0.097193712978712,0.2323542048250625,0.5050052358404064,-0.0040262339948295,-0.0545712134113658,-0.0635880158072395,-0.1097333406482988,0.0318588219840714,1.29184424309463,0.0728186286222766,1.4063753024564942,1.5932978855455684,0.8262585668664104,0.196970329485308,45470.67
2024-01-02 16:00:00+00:00,0.5162520198092405,0.0093566898634778,-0.0212236956965702,-0.0397529687755118,-0.0487975246311691,0.0136831988744399,0.9578278824346907,0.1079272575170668,3.788406723437849,2.7814451279689214,-0.1641601312214853,0.2465087951505983,0.504655179459785,-0.0032668107380903,-0.0492490648648323,-0.0592780323359487,-0.1058571497354055,0.0324619974934795,1.213599163074069,0.0750952461730961,1.6262629888758555,2.034073501056969,0.7663849701615322,0.1978563286946127,45310.54
2024-01-02 20:00:00+00:00,0.5122359757059674,0.0082993197274254,-0.0109445623435066,-0.0298184146729736,-0.0404456377997956,0.0140901452079474,0.8481467005898954,0.1122372888132586,2.4901354048476616,2.5294185442192645,-0.5066727874872933,0.2544733155325958,0.5041056804580524,-0.0026681596887301,-0.0410134494603499,-0.0518997758131812,-0.09899920533024,0.0330843381274073,1.0997118002861157,0.0775349773288054,1.3281466128325097,2.385041865700157,0.542068416363796,0.1987318425707627,44999.83
2024-01-03 00:00:00+00:00,0.511461304584074,0.0068270207044168,-0.009496555038731,-0.0277934616924184,-0.0395180545143591,0.0141268405470538,0.8191494169252476,0.114327735920748,1.4243326033887913,1.6414791047686,0.0485829959514132,0.2575022294811041,0.5040835779303721,-0.0021451394820594,-0.040179108105026,-0.0517245182532657,-0.0989486078026185,0.0332991020673571,1.0898546539168508,0.079270268506646,0.9529339993035912,2.518462511153316,0.4648401508961616,0.199596995202143,45030.04
2024-01-03 04:00:00+00:00,0.5125950469977291,0.0057932198070701,-0.0121135237885474,-0.0301352389995754,-0.0429775311616122,0.0140068449164117,0.8294065803461502,0.11713195542577,1.6009020925192372,0.7558828289355886,0.44904696762425,0.2601939148660193,0.5043923944148204,-0.0015834475165961,-0.0437347323426585,-0.0559442161719798,-0.103107509567805,0.033072250691927,1.1353501415674514,0.0809505279102961,1.119233712614429,1.95679620584512,-0.1579585189073195,0.2004519092086191,45273.2
2024-01-03 08:00:00+00:00,0.5102025359888743,0.0048191851346912,-0.0050056036753972,-0.02273055315559,-0.0366641612620255,0.0136151302588627,0.7566994179830001,0.1192167253936256,1.4732865807937567,0.5319699648699447,-0.4871806304900424,0.2633085933385622,0.5040258854417015,-0.0010717295632862,-0.0375189108091024,-0.0504887658409716,-0.0980725806546747,0.0331796667666709,1.055941508728491,0.0834329191406637,1.0328671559155225,1.8433609825980213,-0.3722723518559981,0.2012967057589139,45054.67
2024-01-03 12:00:00+00:00,0.4978549454028759,0.0035918780603137,0.0294968443876533,0.0123020321441098,-0.0027531942075683,0.0141354815961502,0.456521719098618,0.1222759804371101,1.23015148337712,1.5086235211363517,-0.7259806567589944,0.2621055723957731,0.5017980560782671,-0.0006767302466101,-0.0037131252415968,-0.0177119971736327,-0.067047592412618,0.0342498429158004,0.657692633321333,0.0880532536809281,0.9127003491826532,1.9819526527458555,-0.7965981933190901,0.2020390673954601,43587.95
2024-01-03 16:00:00+00:00,0.4949193937682939,-0.0018663099272036,0.0324820416626312,0.0227864606056649,0.0101521514385933,0.020624553079365,0.342086235623761,0.1232426047043163,0.052342215859716,4.575925948854679,-0.2030426578610429,0.2690820287512773,0.5008869701098886,-0.0011668858050955,0.0092829415987498,-0.0042104319065854,-0.0538176214538732,0.0357059720399428,0.5026893839979224,0.0893452819694976,0.6408422691107997,2.6665767759872097,-0.4736719497143238,0.200492400621728,42990.89
2024-01-03 20:00:00+00:00,0.4935378838611043,-0.004754998539614,0.0333218729486275,0.0283879940221323,0.0175164280212962,0.0219370624462878,0.274928496844622,0.1232554999199571,-0.2137841527832784,2.0945885059692166,-0.21020108328972,0.2719319879212131,0.5004004381546783,-0.0014882815456441,0.0167109437272527,0.0035870258722934,-0.0460846740450533,0.0369167766257834,0.4159848777430618,0.090054020444857,0.5503324994120181,2.7488717999661008,-0.4780940159063607,0.1989764274481577,42657.54
2024-01-04 00:00:00+00:00,0.495012017580467,-0.0064937398331466,0.0229408847215333,0.0217752104681527,0.0126926698035889,0.0219130922210394,0.3042006381951049,0.1214973625402126,0.2709712264816929,0.8500009655278445,0.3965964811075865,0.2753052866153886,0.5006405515716027,-0.0017987185984153,0.0119616981366041,-0.0006145891179226,-0.0497425104466792,0.0376796279285052,0.4630460242795667,0.0896964128396883,0.8000410738316205,2.626444529451468,-0.4476647240091219,0.1974783950172106,42836.3
2024-01-04 04:00:00+00:00,0.4970347795074875,-0.0070322832935153,0.012232986693266,0.0133785801563639,0.0057027429453151,0.021010046997625,0.3530154805636912,0.1193378768889545,0.3799883462433746,0.4234748690416948,0.4689407240197358,0.2773692198620788,0.5010178328613794,-0.0020266455047137,0.0050321914100961,-0.0070686299213855,-0.0555793101426634,0.0383347251487622,0.5359972090705916,0.089117958505973,1.04548296823511,2.562800826399376,-0.4406658438299506,0.195998091009664,43116.73
2024-01-04 08:00:00+00:00,0.4957055541488147,-0.0068478550360811,0.0154437638975504,0.0177685773354057,0.0110192554278254,0.0204593202651793,0.2958140382900069,0.1171952786352657,0.3691238742861363,0.3875464119674326,-0.46105701012692,0.276759159426469,0.5006790107474837,-0.0021951434934632,0.0103842795471074,-0.0014987566476368,-0.0500214696554262,0.0394394871950294,0.4737564047107521,0.0895831950063262,1.0388364844586349,2.536258055017666,-0.4439476545066652,0.1945353056189817,42881.41
2024-01-04 12:00:00+00:00,0.4981577289329176,-0.0065608448236004,0.0047695557967324,0.0081788262345259,0.0024976537156238,0.0197789130525442,0.3576745250978942,0.1139667285932019,0.4415265956627729,0.4297402535738814,0.5959944988825925,0.2775770587280382,0.5011513851429459,-0.0023666736457603,0.001913219586197,-0.0095377842385787,-0.0573875151580316,0.0399146982056757,0.5647637620659481,0.0888495004655863,1.1502505398473275,2.3199290935185943,-0.1214231408406172,0.193089831521576,43232.54
2024-01-04 16:00:00+00:00,0.5039766482889313,-0.0051354102868908,-0.0157996654717439,-0.0130457271276905,-0.0183348557310015,0.0193204283645179,0.5348788140347421,0.1072410190352205,0.9283860985553518,1.175453560996792,0.7547273517806052,0.2729635128261048,0.502390780029259,-0.0023205221696446,-0.0188987907052762,-0.0300350460417647,-0.0767175548698007,0.0390968499036185,0.8031936333052861,0.0869257877676389,1.4742916734862166,1.5173793504646649,0.49793657364533,0.1915310999322103,44157.66
