time,m15_rsi,m15_macd_diff_pct,m15_ema9_ratio,m15_ema21_ratio,m15_ema50_ratio,m15_atr_norm,m15_bb_pct,m15_bb_width,m15_obv_zscore,m15_vol_ratio,m15_body_ratio,m15_adx,h1_rsi,h1_macd_diff_pct,h1_ema9_ratio,h1_ema21_ratio,h1_ema50_ratio,h1_atr_norm,h1_bb_pct,h1_bb_width,h1_obv_zscore,h1_vol_ratio,h1_body_ratio,h1_adx,close
2023-01-01 00:00:00+00:00,0.4861199797313797,-0.0001097441279696,-0.0002242813481573,0.0005902390815308,0.0013636138866734,0.0013857425331826,0.3520614212436378,0.0051304548337534,-2.301473654248546,1.093523389875012,-0.4055636896047535,0.2699308060379385,0.4930254561620131,-0.000395269046123,0.0011427523355902,0.0015016636400277,0.0019912572142843,0.0023710566039762,0.2116751029665751,0.0055704612827619,-1.248269888513204,1.686888209747117,0.3371224423513772,0.1248166993934093,16531.0
2023-01-01 00:15:00+00:00,0.4685264593441918,-8.839759184433999e-05,0.0009015901376892,0.0017017502220693,0.0025147918915247,0.0013673255191985,0.1411281813784592,0.0051669837297697,-2.980495947490202,1.0642875158870782,-0.8625954198474036,0.2786734262045586,0.4876191507763244,-0.0004151017113457,0.0022743459951397,0.0026827673241978,0.0031985005766064,0.0023942805376159,0.0014446698654992,0.0056611748093875,-1.4383252089071996,1.5413571248501476,0.1281979195952023,0.1268562836669254,16510.66
2023-01-01 00:30:00+00:00,0.4842228265998491,-2.3257890984542616e-05,4.413630167343641e-06,0.0007204716259221,0.0015379025703694,0.0013644004570214,0.3367601070984694,0.0050839153051711,-2.00449214191245,1.5726866368413768,0.5900243309002173,0.2862146519435045,0.4919824152297226,-0.0004199653571704,0.0012879389259441,0.0017258443651839,0.0022591323215199,0.0023847754944762,0.1675238510892623,0.0057000284116938,-1.2852452476944782,1.7281083561031827,0.3894464227905168,0.128859748742118,16525.77
2023-01-01 00:45:00+00:00,0.4723361500262652,-4.179064020476503e-05,0.0007745581700955,0.0015199171277677,0.0023868503145354,0.0014045071637375,0.1815577651339096,0.0050252547009015,-2.65532003595011,1.1496940767553427,-0.5199999999999169,0.293191645053819,0.4880679522705392,-0.0004427253206125,0.002114878125057,0.0026078218119585,0.0031710961544286,0.002384825458096,0.0154538126524952,0.0058147315111245,-1.429351381637959,1.7556968587812023,-0.6453987730061171,0.1311783367020223,16510.24
2023-01-01 01:00:00+00:00,0.4814223144261954,-5.811890302454804e-06,0.0001975794099315,0.0008934978543975,0.0017735641624081,0.0014051368863836,0.3091362948092866,0.0048172793743279,-2.3320926327523024,0.7498334062352068,0.4860365198709989,0.2993055832868199,0.4906282949327402,-0.0004502061545184,0.0014898994695864,0.0020172862327201,0.0026019635669825,0.0023807176527349,0.1161028834806052,0.0058813561959296,-1.3869229897556856,1.6342209090858808,-0.3225894564326993,0.1336563575769338,16519.19
2023-01-01 01:15:00+00:00,0.4904855592839275,5.61092663906507e-05,-0.0002995334666037,0.000299916673395,0.0011656438218734,0.0013637420883994,0.4426776160561386,0.0046216143369411,-1.7818346351510066,0.8554465334046912,0.5484693877549991,0.3017914320610435,0.4932189756529997,-0.0004458987747458,0.0008784617337644,0.0014236072679281,0.0020228790343324,0.0023764808480991,0.2160843254160134,0.0059275347042942,-1.2229406974415038,1.5601584108812934,0.4689975416552303,0.1360904949366638,16528.39
2023-01-01 01:30:00+00:00,0.4869768605303611,9.530934577894052e-05,-4.202840430123089e-06,0.0005203762035173,0.0013733412339704,0.0013153232934399,0.4037778618398655,0.0043705568687909,-1.9892295175486687,0.6922825945804608,-0.4345603271984157,0.3028536444396944,0.4921687979293767,-0.0004415868780806,0.0010827560276627,0.0016452259389085,0.0022594351357994,0.0023740339236982,0.1777806293057349,0.0059758680788751,-1.294778913115641,1.2450368238245832,-0.0451798561150995,0.138481525918695,16524.14
2023-01-01 01:45:00+00:00,0.4954239609340412,0.0001297476920529,-0.0004518536273575,-1.7941213086292152e-06,0.0008322699554008,0.0012668286760035,0.5396987467820928,0.0041266401315772,-1.942631847797244,0.384880719697607,0.6729663105999224,0.3032301620482444,0.4944968660507179,-0.0004340896095532,0.0005405530870947,0.0011156014848077,0.0017426747385929,0.0023646637756597,0.2636979206792413,0.0060074142286439,-1.3077434884494348,0.9624169373272105,0.8459778879145872,0.1407944744346092,16532.33
2023-01-01 02:00:00+00:00,0.4972340916016028,0.0001919872201081,-0.0004145105043996,-8.86949771792267e-05,0.0006965579897184,0.0012416027847226,0.5868019925383218,0.003880307545159,-1.6962460164407511,0.5804847971938301,0.0912938331317201,0.2976520190520595,0.495081799303294,-0.0004137628368899,0.0004128434727779,0.0009814551792872,0.0016132371161947,0.0023482405919773,0.2824684548166736,0.0060026460424395,-1.240620946709703,0.8943082428598936,0.4737532808398588,0.1424301747824494,16534.23
2023-01-01 02:15:00+00:00,0.506135247200967,0.0002142315707601,-0.0008535209685089,-0.0006038275431082,0.0001451397439917,0.0012247479232827,0.7535575685285529,0.0036315377806645,-1.5429600618674726,0.5984242901280427,0.6460966542752311,0.2889072673687698,0.4975324241120604,-0.0003977462919199,-0.0001332860585954,0.0004339652682294,0.0010723370602074,0.002333687576049,0.3702009654788823,0.0060046929636052,-1.212262391323448,0.7964553511877535,0.5519208824649511,0.1434346231580247,16542.9
